DEALER_ID,Dealer_Name,Dealer_Brand,Dealer_Address,Dealer_Pincode,Dealer_City,Dealer_State,Dealer_Category_Level_3,FOS_Code,FOS_Name
452288,Tyre World,Tyre World,Sr No 11 12 685 3 Anant Vasahat Kothari Block Road Bibwewadi Corner Pune Sr No 11 12 685 3 Anant Vasahat Kothari Block Road Bibwewadi Corner Pune  Pune Maharashtra,411037.0,Pune,Maharashtra,Tyres,90041722,Shubham Uttamrao Sunewad
60083230,The Pets Den,The Pets Den,Shop No Piyush Apartment Opp Homi Bhabha Hospital Near Deep Bunglow Chowk Abha Hospital Near Deep Bunglow Chowk  Pune Maharashtra,411016.0,Pune,Maharashtra,Pets Accessories,90049256,Sarang Awate
897081,Prakash Battery Inverter And Auto Electrician,Prakash Battery Inverter And Auto Electrician,Backside Midcl Office Gat Kudalwadi Chikhli Pune Pune  Pune Maharashtra,411014.0,Pune,Maharashtra,Power Backup,90043471,Tejas Anil Kumbhar
60085340,Ashwini Water Technology,Ashwini Water Technology,Sno135 Mn8133 Waraje Pune Near Yashdeep Society Pune Pune  Pune Maharashtra,411029.0,Pune,Maharashtra,Water Purifier,No Mapping,No Mapping
60004038,Lords Car Accessories And Car Clining Pointnapm,Lords Car Accessories And Car Clining Pointnapm,Oxford Blue Shop No 10 Ground Flore Wanaori Pune Maharashtra  Pune Maharashtra,411040.0,Pune,Maharashtra,Car Accessories / Auto Ancillaries,90049256,Sarang Awate
900553,Reliance Retail Limited ,Smart Bazaar,Cts 42 43 Shankar Seth Road Gultekdi Pune 411042 M Aharashtra  Pune Maharashtra,411042.0,Pune,Maharashtra,LFR,90049256,Sarang Awate
60065279,Sai Pro Audio,Sai Pro Audio,S No 402 Sai Pro Audio Natraj Plaza Budhwar Peth Pune Budhawar Peth Parthna Samaj Path  Pune Maharashtra,411002.0,Pune,Maharashtra,Musical Instruments,90049256,Sarang Awate
172062,Gkb Lens Pvt Ltd ,Gkb,Shop No Ebgf10 Block East Ground Floor Town Centre Amanora Amanora Park Township Village Sadesatranali1712 Nali Hadapsar  Pune Maharashtra,411028.0,Pune,Maharashtra,Eyewear,90041413,Vijay Kumar
867995,Pavan Car Accessories,Pavan Car Accessories,Yash Complex Beside Rajmudra Hotel Mumbai Banglor Highway Warje Pune  Pune Maharashtra,411058.0,Pune,Maharashtra,Car Accessories / Auto Ancillaries,90043471,Tejas Anil Kumbhar
972215,Aster Clinicallab Llp ,Aster Clinicallab Llp,Theaddresscommerciashopno115116Groundfloorvillagewakadtalukamulshipunedistrict411057 Maharashtra  Pune Maharashtra,411507.0,Pune,Maharashtra,Watches,No Mapping,No Mapping
60083090,Krushiraj Batteries,Krushiraj Batteries,Kadam Wasti House No Pune Solapur Road Loni Station Pune  Pune Maharashtra,412201.0,Pune,Maharashtra,Power Backup,No Mapping,No Mapping
60012360,Amrut Cycle Martpuneedc,Amrut Cycle Martpuneedc,Sr No 145 1 1 Bihaind Garmal Dtc Dhayari Garmal Pune City Pune  Pune Maharashtra,411041.0,Pune,Maharashtra,Cycles,90041722,Shubham Uttamrao Sunewad
147149,Pro Glasses,Pro-Vision,Shop No2 Tain Square Bldg Bbldg B Sn 15 Fatima Nagar Wanawadi Pune Maharashtra Indiapune Maharashtra,411040.0,Pune,Maharashtra,Eyewear,90041413,Vijay Kumar
914394,Unique Auto Tech,Unique Auto Tech,S No 215 Office No 1 James Auto Building Solapur Road Hadapsar Pune  Pune Maharashtra,411028.0,Pune,Maharashtra,Remi Gas Kit,90041413,Vijay Kumar
60093331,Namo Tech,Namo Tech,Snno464Groundfloorshopno2Anilaapartmentkadominium Snno464Groundfloorshopno2Anilaapartmentkadominium  Pune Maharashtra,411030.0,Pune,Maharashtra,Others,90043471,Tejas Anil Kumbhar
60007735,Plaza Car Stereonapm,Plaza Car Stereonapm,379 Laxmi Road Rasta Peth Maharashtra  Pune Maharashtra,411011.0,Pune,Maharashtra,Car Accessories / Auto Ancillaries,90049256,Sarang Awate
453600,Shobhana Enterprises,Shobhana Enterprises,Shop No 28 Vijaya Chembers Sinhgad Road Opp State Bank Of India Hingane Khurd Vitthalwadi Havwli Pun Shop No 28 Vijaya Chembers Sinhgad Road Opp State Bank Of India Hingane Khurd Vitthalwadi Havwli Pun  Pune Maharashtra,411051.0,Pune,Maharashtra,Small Appliances,90041722,Shubham Uttamrao Sunewad
60002245,Ganesh Threadnapm,Ganesh Threadnapm,Ganesh Kisan Jagtap Gno02068 Market Yard Nira Baramati Road At Post Nira Talpurandar Maharashtra  Pune Maharashtra,412102.0,Pune,Maharashtra,Small Appliances,90041722,Shubham Uttamrao Sunewad
